painting_name,author_name,Genre,Style,Theme,Period,Path,Field,Date
The Star 1960,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/The Star 1960.jpg,painting,1960
Puppet Man 1960,Alexander Calder,sculpture,Abstract Art,Graphic Works,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Puppet Man 1960.jpg,painting,1960
Fish Pull Toy 1960,Alexander Calder,sculpture,Expressionism,Toys,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Fish Pull Toy 1960.jpg,painting,1960
Spirale 1958,Alexander Calder,sculpture,Kinetic Art,Monumental Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Spirale 1958.jpg,painting,1958
Red Lily Pads N Nuphars Rouges 1956,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Red Lily Pads N Nuphars Rouges 1956.jpg,painting,1956
Red Mobile 1956,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Red Mobile 1956.jpg,painting,1956
Red Cascade 1954,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Red Cascade 1954.jpg,painting,1954
Acoustic Ceiling 1954,Alexander Calder,sculpture,Kinetic Art,Monumental Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Acoustic Ceiling 1954.jpg,painting,1954
Pomegranate 1949,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Pomegranate 1949.jpg,painting,1949
Miro Tamayo And Jeanneret 1949,Alexander Calder,sculpture,Expressionism,Oil Painting,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Miro Tamayo And Jeanneret 1949.jpg,painting,1949
Snow Flurry 1948,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Snow Flurry 1948.jpg,painting,1948
Finny Fish 1948,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Finny Fish 1948.jpg,painting,1948
Blue Feather 1948,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Blue Feather 1948.jpg,painting,1948
Rattle 1948,Alexander Calder,sculpture,Expressionism,Household Objects,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Rattle 1948.jpg,painting,c.1948
Louisas 43Rd Birthday Present 1948,Alexander Calder,sculpture,Kinetic Art,Toys,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Louisas 43Rd Birthday Present 1948.jpg,painting,1948
Triple Gong 1948,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Triple Gong 1948.jpg,painting,c.1948
Aspen 1948,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Aspen 1948.jpg,painting,1948
1 Red 4 Black Plus X White 1947,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/1 Red 4 Black Plus X White 1947.jpg,painting,1947
Much Pierced 1947,Alexander Calder,sculpture,Expressionism,Stabile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Much Pierced 1947.jpg,painting,1947
Parasite 1947,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Parasite 1947.jpg,painting,1947
Silver Bed Head 1946,Alexander Calder,sculpture,Kinetic Art,Wire Sculpture,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Silver Bed Head 1946.jpg,painting,1946
Earrings 1946,Alexander Calder,sculpture,Expressionism,Jewelry,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Earrings 1946.jpg,painting,1946
Fetishes 1944,Alexander Calder,sculpture,"Surrealism,Abstract Art",Oil Painting,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Fetishes 1944.jpg,painting,1944
Upstanding T 1944,Alexander Calder,sculpture,"Expressionism,Surrealism",Bronze,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Upstanding T 1944.jpg,painting,1944
The Vine 1944,Alexander Calder,sculpture,"Expressionism,Surrealism",Bronze,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Vine 1944.jpg,painting,1944
The Helices Double Helix 1944,Alexander Calder,sculpture,Expressionism,Bronze,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Helices Double Helix 1944.jpg,painting,1944
Vertical Constellation With Bomb 1943,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Vertical Constellation With Bomb 1943.jpg,painting,1943
Belt 1943,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Belt 1943.jpg,painting,1943
Tines 1943,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Tines 1943.jpg,painting,1943
The Big Ear 1943,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Big Ear 1943.jpg,painting,1943
Constellation 1943,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Constellation 1943.jpg,painting,1943
Car 1943,Alexander Calder,sculpture,Expressionism,Toys,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Car 1943.jpg,painting,1943
Dinner Bell 1942,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Dinner Bell 1942.jpg,painting,c.1942
Constellation 1942,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Constellation 1942.jpg,painting,1942
Toaster 1942,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Toaster 1942.jpg,painting,1942
Arc Of Petals 1941,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Arc Of Petals 1941.jpg,painting,1941
Boomerangs 1941,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Boomerangs 1941.jpg,painting,1941
Vertical Foliage 1941,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Vertical Foliage 1941.jpg,painting,1941
Un Effet Du Japonais 1941,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Un Effet Du Japonais 1941.jpg,painting,1941
Boomerangs 1941 0,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Boomerangs 1941 0.jpg,painting,1941
Myrtle Burl 1941,Alexander Calder,sculpture,Kinetic Art,Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Myrtle Burl 1941.jpg,painting,1941
Tree 1941,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Tree 1941.jpg,painting,1941
Bones Necklace 1940,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Bones Necklace 1940.jpg,painting,c.1940
Little Arch Maquette 1940,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Little Arch Maquette 1940.jpg,painting,c.1940
Black Beast 1940,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Black Beast 1940.jpg,painting,1940
The Spider 1940,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Spider 1940.jpg,painting,1940
Little Spider 1940,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Little Spider 1940.jpg,painting,c.1940
Milk Skimmer 1940,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Milk Skimmer 1940.jpg,painting,c.1940
Fork 1940,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Fork 1940.jpg,painting,c.1940
Baby Carriage 1940,Alexander Calder,sculpture,Expressionism,Toys,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Baby Carriage 1940.jpg,painting,c.1940
Scissor Guard 1940,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Scissor Guard 1940.jpg,painting,c.1940
Hollow Egg 1939,Alexander Calder,sculpture,Expressionism,Wire Sculpture,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Hollow Egg 1939.jpg,painting,1939
Lobster Trap And Fish Tail 1939,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Lobster Trap And Fish Tail 1939.jpg,painting,1939
Spiny Maquette 1939,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Spiny Maquette 1939.jpg,painting,c.1939
