title,artist,subject,year,description,image_path,emotion,style,monologue
Lunette of the north wall,"ANGELICO, Fra",religious,1425,"The lunette represents two scenes: The Sermon of St Stephen; Dispute before the Sanhedrin.On the left St Stephen preaches to an array of figures placed throughout the vista of space. To the right, in a chamber which is also embedded in the lefthand scene yet has a different perspective framework, he addresses the council. Here the depth of the picture is truncated by a blank wall hung with a curtain",14906-early08.jpg,,,
Madonna and Child,"CHRISTUS, Petrus",religious,1475,The Madonna and Child (the Exeter Madonna) are depicted with St Barbara and a Carthusian monk,19034-lakenami.jpg,,,
Madonna and Child,CENNI di Francesco di Ser Cenni,religious,1375,"Francesco di Ser Cenni was one of the greatest popularizers of late Gothic painting style in Florence. This panel, preserved in good condition, shows the influence of the style of Agnolo Gaddi",21468-queen.jpg,,,
Madonna of the Cherries,TIZIANO Vecellio,religious,1525,"In this half-length picture of the Madonna, Titian was still keeping entirely to a pictorial idiom typical of Giovanni Bellini. St Joseph is on the left, and Zacharias, the father of John the Baptist, on the right of the Madonna. John, depicted as a naked boy, is giving the Madonna the cherries that give the painting its name",10300-06woman4.jpg,,,
Madonna with the Child,"CRIVELLI, Vittore",religious,1475,"Vittorio Crivelli was the younger brother of Carlo Crivelli. He painted mainly altarpieces in a style very similar to his brother's. This Madonna is the central panel of a polyptich. On the two left panels St Anthony and Nicholas, while on the two right panels St Christophor and St Catherine are depicted",21468-queen.jpg,,,
Midas and Bacchus,"POUSSIN, Nicolas",mythological,1625,"In Greek legend Midas was a king of Phrygia who was granted a wish by Bacchus in return for a good deed he had done to Silenus, a follower of the god. Midas wished that everything he touched be turned to gold, but soon realized his mistake when all food became inedible. Bacchus ordered him to wash in the River Pactolus in Lydia. Hence the popular aetiology of the gold-bearing properties of the river, thought to have been the source of wealth of the kings of Lydia, of whom Croesus was the last.Midas is depicted penitently before Bacchus, a drunken Silenus sleeping nearby. Another version of the subject by Poussin (Metropolitan Museum of Art, New York) depicts Midas washing in the river, while the river god reclines on his urn",00476-virgin_c.jpg,,,
Minerva,REMBRANDT Harmenszoon van Rijn,mythological,1625,Catalogue number: Bredius 466,10300-06woman4.jpg,,,
Mountainous Landscape,"SAFTLEVEN, Herman",landscape,1625,This signed and dated panel depicts a mountainous river landscape at sunset with travelers by a path,38414-selfport.jpg,,,
Munich Beer Garden,"LIEBERMANN, Max",genre,1875,Adolf von Menzel's virtuoso use of colour influenced his German Impressionist successors. Liebermann's Munich Beer Garden most strikingly reveals his debt to Menzel,19034-lakenami.jpg,,,
Noah's Ark,"ROMANESQUE PAINTER, French",religious,1075,"The fresco cycle in the vault of the monastery church of Saint-Savin-sur-Gartempe narrates stories from the Old Testament in a rather confusing sequence. When establishing the narrative composition, priority was given to the arrangement of narrative events rather than to the continuous narrative flow. Thus, popular subjects, such as Noah's Ark, were made to stand out in spectacular fashion.As was common in the Middle Ages, the artist who created this picture showed the ark as a lateral elevation. Judging by its hull, the ark is a Viking ship with a stem fortified by monsters, and a three-story superstructure and small wheel-house just as described in the Bible. Animals look out through the round-arched windows, and Noah's family crouch above",30774-6transf.jpg,,,
Paintings of Saints,MASTER THEODERIC,religious,1375,"Master Theoderic, a highly original artist, broke free of the styles that were dominated by Italian, Austrian and French art and tried to develop his own distinctive style. Painted between 1360 and 1365, the 30 icon-like portraits of the saints which decorate the Chapel of the Cross at Karlstein Castle are one of the most impressive results of these efforts. The robust features of the individual saints are impressively depicted.Three-dimensional objects have been added, such as carved coats-of-arms, mounted in the manner of collages on the surface of the paintings. Ornamented with discs of gilded Venetian glass and strips of marble encrusted with semiprecious stones, the chapel seems like a Byzantine treasure chamber. It is possible that this room and the adjacent 'privatorium' were intended by the Emperor to create a vision of his future Eastern empire",38414-selfport.jpg,,,
Paternal Admonition (Gallant Conversation),"TERBORCH, Gerard",genre,1675,"This painting having the popular title of Parental Admonition (another version in the Staatliche Museen, Berlin) was the subject of a charming passage by Goethe. In his ""Die Wahlverwandtschaften"" Goethe notes the delicacy of attitude of the figures. He remarks how the father quietly and moderately admonishes his daughter who is seen from behind. The woman in black, sipping from a glass, Goethe interprets as the young woman's mother, who lowers her eyes so as not to be too attentive to the 'father's admonition'. This moralizing title, however, is without foundation and not in accordance with Ter Borch's usual themes.The authoritative biographer of the artist interprets the picture in the opposite sense, as a brothel scene, assuming that the seated gentleman holds a coin in his right hand, offering it to the girl. In fact, the detail of the coin is not visible. (The coin is omitted in the engraving Goethe knew). In the Berlin version the passage is rubbed; a former owner may have had it painted over because she or he found it an embarrassing allusion. The Amsterdam version does not show the coin either, but its original paint surface is generally abraded; thus it is impossible to tell if it ever included the tell-tale coin.Ter Borch's psychology is so delicate that the  common scenes he repeatedly painted are raised to the level of highly civilized life. That Goethe's interpretation was possible at all shows the refinement of Ter Borch's treatment. Even if he made a mistake, Goethe had the right feeling for the way Ter Borch treated his subjects. Psychologically and pictorially he retains a sensitive touch and delicacy. The young woman is seen from behind; thus her face is averted. The only flesh visible is her neck, which is modelled with tender, silvery grey shadows. We have, however, opportunity to admire the silver-grey satin and black velvet of her gown.Ter Borch's minuteness and nicety of handling concentrate largely on painting stuffs. Contrary to Vermeer's paintings, the dim light and the subdued chiaroscuro do not allow a forceful grasp of the whole field of vision. The light comes mostly from the front and stops at the glossy surfaces of the costumes and other textures",21468-queen.jpg,,,
Peasants with Cattle by a Ruined Aqueduct,"BERCHEM, Nicolaes",landscape,1675,"Nicolaes Berchem, the son of a distinguished still-life painter, Pieter Claesz., was born in Haarlem. The town was a leading centre of landscape painting in the early seventeenth century and among Berchem's teachers was the landscapist Jan van Goyen. Like many Dutch artists, Berchem travelled to Italy immediately after completing his apprenticeship. He was in Rome late in 1642 and remained there for three years. While in Italy, Berchem made many drawings of the landscape of the Roman Campagna, its cattle and peasants.On his return to Haarlem Berchem quarried this rich material throughout a long and extremely productive career, painting (and etching) hundreds of Italianate pastoral scenes. As is evident from this painting, he interpreted the Italian landscape and the life of its peasants in an idyllic manner, emphasizing its timeless continuity by the inclusion of antique monuments. These buildings cannot be identified, as they are only loosely modelled on actual ruins. Berchem uses a bright, highly-coloured palette and applies the paint in short, stabbing brush strokes.In seventeenth-century Holland there was a constant demand for exotic landscapes of this type and Berchem was a highly successful artist. He moved to Amsterdam, which had a larger art market than Haarlem, in about 1677. His work was widely imitated and copied during his lifetime and his paintings enthusiastically sought after in France in the eighteenth century and in England in the nineteenth. This painting, having been in the distinguished Amsterdam collection of Gerrit Braamcamp in the mid-eighteenth century, was bought in Paris by the Duc de Chabot in 1780 and in London in 1840 by Sir Robert Peel",10300-06woman4.jpg,,,
Piazza San Marco in Venice,"RENOIR, Pierre-Auguste",landscape,1875,This painting was executed during Renoir's trip to Italy in 1881. In Italy he found new inspiration in the works of Renaissance artists,00476-virgin_c.jpg,,,
Portrait of a Man,"BOTTICELLI, Sandro",portrait,1475,"According to Berenson, the sitter of this portrait is Michele Marullo (1453-1500), known as Tarcaniota, a Greek humanist, who was the guest of the Medici's between 1489 and 1495. Later, in 1496, he returned to Florence and married the woman poet Alessandra Scala. He left Florence in 1490 and soon after he died by drowning into the river Cecina.This painting can be considered an ideal scholar portrait, a forerunner of those portrayals of philosopher-heroes developed in the seventeenth century, e.g. by Luca Giordano.The painting is in a very poor state of preservation",23474-danishco.jpg,,,
Portrait of a Man,RAFFAELLO Sanzio,portrait,1525,"Both the identity of the sitter and the authorship of the painting are still matters of debate. The attribution to Raphael is supported by the majority of contemporary scholars. As for the subject, the Italian painter Perugino and the German reformer Martin Luther are mentioned as possible identification",10300-06woman4.jpg,,,
Portrait of Gabriel Huquier,"PERRONNEAU, Jean-Baptiste",portrait,1725,"This early pastel by Perronneau was exhibited at the Salon of 1747.Gabriel Huquier was a French draughtsman, engraver and merchant of prints. He executed a large number of engravings after Boucher, Watteau, Gillot, and other French masters, and he is distinguished by his deep knowledge in arts",14509-burning.jpg,,,
Portrait of Johan Cornelisz. Vijgeboom and His Wife,"HOOGSTRATEN, Samuel van",portrait,1675,"The painting is identified as a double portrait of Johan Cornelis Vijgeboom  (died 1665), a wealthy Dordrecht grocer and his wife Anneken Joosten Boogaert. It depicts Vijgeboom handing his wife, Anneken Joosten Boogaert a tulip in the garden of their manor house near Dubbeldam (the vicinity of Dordrecht).The painting is signed and dated left centre: S. v. Hooghstraten 1647",07499-271y_ram.jpg,,,
Portrait of Louis XIII of France at Age Ten,"POURBUS, Frans the Younger",portrait,1625,"In 1599, the childless marriage between Marguerite de Valois and Henri IV, king of France, was annulled. Early in 1600, Henri wed Maria de' Medici, and later that year Louis, heir to the throne, was born. Henri was assassinated in 1610; Louis became king, but Maria ruled as regent until he came of age seven years later",07499-271y_ram.jpg,,,
Portrait of Margaret of Austria,"CRANACH, Lucas the Elder",portrait,1525,"Margaret of Austria was one of the most significant female figures of the sixteenth century, and won the respect of his contemporaries by the conduct of her life and office (as the Governess-General and regent of the Netherlands. Her court painter Bernaert van Orley painted several official portraits of Margaret. Cranach's painting is based on van Orley, his source was, however, not one of the official portraits but a chalk drawing now in Berlin.The painter depicts the sitter in a white hood in the Netherlandish style. The Governess of the Netherlands had adopted this form of dress in a modest acknowledgement of her widowhood",10300-06woman4.jpg,,,
Portrait of the Villers Family,"DUVIVIER, Jan Bernard",portrait,1775,"This highly symbolic family portrait is conceived almost in a fashion of a memorial. On the eve of the reign of terror that followed the French Revolution, this group, portrayed in the manner of a Dutch master, has the character of a 'memento mori' for a doomed aristocracy",10300-06woman4.jpg,,,
Queen Victoria and Prince Albert at the Bal Costum of 12 May 1842,"LANDSEER, Sir Edwin Henry",historical,1825,"Three fancy-dress balls were held at Buckingham Palace by Queen Victoria and Prince Albert, each in a different style. At the first on 12 May 1842 the principal figures appeared as Edward III (1312-77) and Queen Philippa (1314?-69). The second, on 6 June 1845, was in early Georgian dress and the third, on 13 June 1851, in the style of the Restoration.Landseer has painted Queen Victoria and Prince Albert in the Throne Room on the occasion of the fancy-dress ball of 1842, standing beneath a specially designed Gothic canopy decorated with purple velvet hangings. Two chairs of state are visible behind the figures and above their heads on the cloth of honour is emblazoned the coat-of-arms of Edward III, combining French and English quarterings. It was from this alcove that Queen Victoria and Prince Albert greeted over 2,000 guests. Members of the Royal Household were expected to appear in costumes dating in style from the reign of Edward III, while the guests were encouraged to wear costumes of any period or country. The setting for the ball and the design of the costumes were entrusted to James Robinson Planche, who was an authority on the history of dress, as evidenced by his encyclopaedic book History of British Costume (1834), as well as a dramatist and a herald in the College of Arms.The costumes worn by Queen Victoria and Prince Albert were designed by Vouillon and Laure with the guidance of Planche. For the sake of accuracy reference was made to the relevant monuments in Westminster Abbey. The queen's costume was based upon the effigies of Philippa of Hainault and her daughter Blanche de la Tour (died in infancy 1342), while that for Prince Albert was derived from the effigy of Edward III. Landseer began his painting at the time of the ball, but, as was so often the case with this artist, progress was delayed and the picture was not finished until 1846.",21468-queen.jpg,,,
Rocky Landscape near Ornans,"COURBET, Gustave",landscape,1875,"Courbet was drawn to the region around his hometown, Ornans, with its stream-filled valleys that are deeply carved into the landscape and bordered by the typical rock formations of the Jura. The overall sombre colouring, with the rich green contrasted with a vibrant pale blue, conveys the melancholy character of the rugged Jura landscape",19034-lakenami.jpg,,,
"Rome, View of the Palatine Hill","HARPIGNIES, Henri-Joseph",landscape,1875,"This signed and dated painting was exhibited at the 1865 Salon, held soon after Harpignies's return to Paris. In the foreground of this Roman view, one can see the Colosseum nestled behind the Arch of Titus; to its right the church of Sant'Omobono is recognisable. In the distance stand the Lateran palace and St John Lateran",14509-burning.jpg,,,
Romulus and Remus Suckled by the Wolf,"CARRACCI, Lodovico",historical,1575,"This scene is part of the frescoed frieze painted in 1588-91 by the Carracci in the salone on the piano nobile of the Palazzo Magnani in Bologna. The frieze depicts in 15 scenes the stories of the founding of Rome. The iconographical program of the frieze precisely follows the story of ""Parallel Lives"" by Plutarch. Each scene is accompanied by a motto written on a scroll beneath each box.One of the most famous of all Roman myths, is the story of Romulus and Remus, the twins who were suckled by a she-wolf. The twin brothers were purported to be sons of the Rhea Silvia and Mars, the god of war. Because of a prophecy that they would overthrow their murderous uncle, they were abandoned at birth and put into a basket that was then placed into the River Tiber. The basket ran aground and the twins were discovered by a female wolf. The wolf nursed the babies for a short time before they were found by a shepherd. The shepherd then brought up the twins.When Romulus and Remus became adults, they decided to found a city where the wolf had found them. The brothers quarrelled over where the site should be and Remus was killed by his brother. This left Romulus the sole founder of the new city and he gave his name to it &#150; Rome. The date given for the founding of Rome is 753 BC.Romulus and Remus Suckled by the Wolf is the first scene of the cycle. It was executed by Lodovico Carracci. The motto beneath the scene reads: ""LAESI NON NECATI ALIMVR"" (Wounded, not killed, we are fed)",19034-lakenami.jpg,,,
Scenes from the Old Testament,BARTOLO DI FREDI,religious,1375,"The Collegiata Santa Maria Assunta, directly adjacent to the Palazzo Comunale, is San Gimignano's main church. The fresco decoration of the nave of the Romanesque-Gothic church began in the 1340s and continued through three phases in the fourteenth and early fifteenth centuries. The decoration encompassed New Testament scenes in the north aisle by Lippo Memmi (c. 1340), Old Testament scenes in the south aisle by Bartolo di Fredi (1367), and a depiction of the Last Judgment on the east wall and in the first bay of the nave. by Taddeo di Bartolo (c. 1413).The picture shows four scenes from the Old Testament, located in the fourth bay of the south aisle. The scenes are: The Departure of Abraham and Lot (above left), Abraham and Lot Separate (above right), God and Satan Agree on the Temptation of Job (below left), Sabeans and Chaldeans Kill Job's Servants.You can find a description of the frescoes in the north aisle in the section of Lippo Memmi",14906-early08.jpg,,,
Self-Portrait,"SWEERTS, Michiel",portrait,1675,This is one of the three existing self-portraits of the artist. He represents himself before a mountainous Italianate landscape with the attributes of his craft,38414-selfport.jpg,,,
Self-Portrait,"MENGS, Anton Raphael",portrait,1775,"This vigorous self-portrait was painted in Rome in 1779, the year of the artist's death",23474-danishco.jpg,,,
Self-Portrait in front of the Easel,"GOGH, Vincent van",portrait,1875,"Catalogue numbers: F 522, JH 1356.Shortly before he left Paris and moved to Provence in late February 1888, van Gogh painted this final self-portrait. He is no longer dressed as the urban dandy, but in the blue blouson of the Parisian working class. He stands before his easel, holding his palette in a pose intentionally reminiscent of a self-portrait by Rembrandt which was then in the Louvre and well known to van Gogh. Perhaps the painting should be read as a kind of manifesto of the new orientation in his conception of himself as an artist and of his work - the intention to remove himself from the city and its bourgeois lifestyle, and the desire to be seen in a Dutch rather than a French tradition. The painting also betrays a growing confidence in himself as an artist: he appears with the insignia of his profession. Greater assurance is also evident in the handling. The earlier extreme experimentation with pure or broken colour and a textured and structuring brushwork has given way to a more controlled and coherent treatment. In the pose he has used, van Gogh evokes Rembrandt; but the painterly treatment and coloration remind us of another seventeenth-century Dutch artist - Frans Hals. The lessons van Gogh had learnt in Antwerp, explored in greater depth throughout the Paris period, are now successfully integrated into his work to produce a distinctive style",14509-burning.jpg,,,
Shipping on the Thames off Rotherhithe,"SCOTT, Samuel",landscape,1725,"This painting, representing the area neighbouring Rotherhithe in the extreme North East of the London borough of Southwark, shows the influence of Canaletto, who arrived in London in 1746",14509-burning.jpg,,,
Socrates Dragging Alcibiades from the Embrace of Aspasia,"REGNAULT, Jean-Baptiste",historical,1775,The artist produced two larger versions of this subject in 1791 and 1810,07499-271y_ram.jpg,,,
St Donatian,"VERMEYEN, Jan Cornelisz.",religious,1525,"Although it is sometimes attributed to Jan Gossart, this painting was executed by one of his followers, probably by the young Vermeyen.St Donatian (d. 390) is the patron saint of Bruges, where his relics were enshrined in the ninth century",14906-early08.jpg,,,
St Jerome,GIOVANNI ANGELO D'ANTONIO,religious,1475,"This panel is from the upper register of a reconstructed polyptych. The companion panels in the upper register show Sts Sebastian and Peter, the Crucifixion and St Lawrence. The main panels with which the upper register has been framed since 1925 represent the Madonna and Child with angels, flanked by, on the left, Sts Augustine and Catherine of Alexandria and, on the right, Sts Appolonia and Nicholas of Tolentino.St Jerome is the most moving of the figural panels in the upper register. He is shown with his symbol, the lion, placing its paws on the saint while licking him as would a dog. Jerome is scrutinizing the text of the Vulgate, which he holds in front of him. Staring at the text through gilded pince-nez, his brows knitted in concentration, he reads aloud, his mouth half open, revealing white teeth.The panels forming the upper register come from the Benedictine abbey in Gualdo Tadino, which must have been the original location of the altarpiece to which they belonged",00476-virgin_c.jpg,,,
St John the Baptist (Youth with Ram),CARAVAGGIO,religious,1575,"This painting exists in two versions, both of which are probably by Caravaggio (who frequently copied his own paintings). Both versions are in Rome, the other in the Galleria Doria Pamphilj.The image is a masterpiece of virtuosity whose appeal lies in its soft, caressing light and velvety rendering of cloth, flesh, and plants. The figure is identifiable as St John only virtue of the symbols of Christ displayed in the painting: the ram (sacrificial victim), and the grape-leaves (from whose red juice, akin to the blood of Christ, springs life); otherwise the iconographical subject (the simple, immediately apparent image) appears as a nude youth with an ironic, if not allusive, expression. Its cultivated content and its destination for an aristocratic patron are underscored by the artist's explicit use of a great figurative source of the past: Michelangelo's Ignudi from the Sistine Ceiling. But whereas Michelangelo created abstract and ideal figures with cold lights and a merely theoretical plasticism, Caravaggio models his figure on the careful observation of nature, achieving an image of perfect realism",07499-271y_ram.jpg,,,
St Maurice and the Angel,"STROZZI, Bernardo",religious,1625,"St Maurice is a legendary warrior saint, the commander of the 'Theban Legion', Roman troops from Thebes in Egypt, who served at Agaunum in Gaul (St-Maurice en Valais) in the 3rd century. He is dressed in medieval armour. The story, whose authenticity is debated, relates that the soldiers, at the instigation of Maurice, refused to participate in certain pagan rites. They were punished by the Emperor Maximian Herculeus first by decimation and finally by the wholesale massacre of the legion. Maurice and his fellow officers were executed in A.D. 287.According to another interpretation, the warrior saint is identified as St Secundus",38414-selfport.jpg,,,
