author_name,painting_name,Style,Genre,Theme,Date,Period,image_url
Pedro de Mena,Saint Anthony Of Padua##fwGFMWV4RnAY_Q,Baroque,,,1653-1657,,http://lh3.googleusercontent.com//tF3f-dCat05b6DSIc1Qju-1oS0cK2pscl464-46bIEmRA9P6hsC_DkxP9DiKyVooQTs
Pedro de Mena,Saint Didacus Of Alcalá##RwHzKwAdYP_t8g,Baroque,,,1653-1657,,http://lh3.googleusercontent.com//ruklJ7PMHz08RSSR3SFEahX7abtFJeoKwEAlo-JvBTaWnTyMby44UygDs0fUqzN1
Pedro de Mena,Saint Peter Of Alcantara##dAEBaBppLDi0YQ,Baroque,,,1653-1657,,http://lh3.googleusercontent.com//pDD65WOVrdQWCB1EOOc_23t89BkF2ZsLeBgHm1zPn5QZGq8ixPy0ZvmC62oMZAcO
Pedro de Mena,Virgin Of Solitude##JQHfLH8dDHkmig,Baroque,,,1670-1680,,http://lh3.googleusercontent.com//B2OrN1EOL52cml1xuoieWdFzqh5KjXfBAeB_mHJIMk8bN3VXuuP0ofVlH2_hRoSnDhU
Wolfgang Lettl,13 Attempts To Become A Rooster 4##1AHJYaBd6ilSKw,Surrealism,,,1978,,http://lh3.ggpht.com//T3e0iM_btcRLRxxJwPk49dLlNS6XlXGlnJH1aGImWXd0iz2DnEziKPx4nnhI
Wolfgang Lettl,The Psychiatrist Or Rose Is Nuts A Second Time##SwG-F6km9oZ56A,Surrealism,,,2013,,http://lh3.ggpht.com//RamVDglTt8KTydr0JzZJGy-K6mw3FsBlk_-on374NWrEGg3oGNGoYqoo9Ung
Wolfgang Lettl,The Candidate##0gGVf3HhrmDu4A,Surrealism,,,1996,,http://lh6.ggpht.com//TJneRCczhNnhlXycjbRQs4UfaX12O_mizpNWeGR0zodwA8MCM6fKF79NVKw
Wolfgang Lettl,Arsonists Number 1##VwHhBqb9gQI2sw,Surrealism,,,1986,,http://lh3.ggpht.com//nETg8A4t2sBc3CVtiWgjPeWVvEMMMJMv-pjrA3dmMqt_eEt6Ettqq2rA54M5Cg
Wolfgang Lettl,The Summit##jAHbHJG-i0j8tg,Surrealism,,,1994-1995,,http://lh5.ggpht.com//j3PhMcDyw_XDHXiBy1lyc2Mxb5pgEOyo1rI97bqdjMxQMs1lwwQHh68RT075
Kirsten Justesen,Lunch For A Landscape##8AGWQgbl_eXlZw,Conceptual Art; Body Art,,,1975,,http://lh3.googleusercontent.com//DnM_Yf63MdPpJoZEJPVPj4F5OUf9qGjIR0HaPQrw0b1_eCNZYvYe-jmlx-42Ga0YMA4
Kirsten Justesen,Portrait In Archive With Collection##TAGEdocZRCYwLw,Conceptual Art; Body Art,,,2013,,http://lh3.googleusercontent.com//eB24kqcGkBd-MS7_dBA9RmOVHpu74fFflINfqDqT244i2USPZDkmx3m1E3eOr-jx
Kirsten Justesen,Lunch For A Landscape##8AGWQgbl_eXlZw,Conceptual Art; Body Art,,,1975,,http://lh3.googleusercontent.com//DnM_Yf63MdPpJoZEJPVPj4F5OUf9qGjIR0HaPQrw0b1_eCNZYvYe-jmlx-42Ga0YMA4
Kirsten Justesen,Portrait In Archive With Collection##TAGEdocZRCYwLw,Conceptual Art; Body Art,,,2013,,http://lh3.googleusercontent.com//eB24kqcGkBd-MS7_dBA9RmOVHpu74fFflINfqDqT244i2USPZDkmx3m1E3eOr-jx
Cennino Cennini,Saint Gregory 1400,Proto Renaissance,religious painting,,1400,,https://uploads5.wikiart.org//images//cennino-cennini//saint-gregory-1400.jpg!Large.jpg
Giulia Lama,Saturn Devouring His Child,Baroque,mythological painting,,1735,,https://uploads0.wikiart.org//images//giulia-lama//saturn-devouring-his-child.jpg!Large.jpg
Giulia Lama,Judith And Holofernes 1730,Tenebrism,religious painting,,1730,,https://uploads0.wikiart.org//images//giulia-lama//judith-and-holofernes-1730.jpg!Large.jpg
Giulia Lama,The Martyrdom Of Saint Eurosia,Tenebrism,religious painting,,1728,,https://uploads4.wikiart.org//images//giulia-lama//the-martyrdom-of-saint-eurosia.jpg!Large.jpg
Giulia Lama,Self Portrait 1725,Tenebrism,self-portrait,,1725,,https://uploads0.wikiart.org//images//giulia-lama//self-portrait-1725.jpg
Filippo Cifariello,Maria 1924,"Neoclassicism,Realism",sculpture,,1924,,https://uploads7.wikiart.org//00151//images//filippo-cifariello//maria-1.jpg!Large.jpg
Filippo Cifariello,Return From Piedigrotta 1911,"Neoclassicism,Realism",sculpture,,1890 - 1911,,https://uploads6.wikiart.org//00151//images//filippo-cifariello//return-from-piedigrotta-1.jpg
Filippo Cifariello,Portrait Of Ermete Novelli 1911,"Neoclassicism,Realism",sculpture,,1911,,https://uploads1.wikiart.org//00151//images//filippo-cifariello//portrait-of-ermete-novelli-1.jpg!Large.jpg
Filippo Cifariello,Enrico Caruso 1899,"Neoclassicism,Realism",sculpture,,1899,,https://uploads6.wikiart.org//00151//images//filippo-cifariello//enrico-caruso-1.JPG!Large.JPG
Filippo Cifariello,The Countess Fattori 1898,"Neoclassicism,Realism",sculpture,,1898,,https://uploads4.wikiart.org//00151//images//filippo-cifariello//the-countess-fattori-1.jpg!Large.jpg
Filippo Cifariello,La Sciantosa 1886,"Neoclassicism,Realism",sculpture,,1886,,https://uploads7.wikiart.org//00151//images//filippo-cifariello//la-sciantosa-1.Jpeg!Large.Jpeg
Yeghishe Tadevosyan,Self Portrait,Impressionism,"landscape,portrait",,,Armenia,https://uploads0.wikiart.org//00178//images//yeghishe-tadevosyan//selfportrait-yeghishe-tadevosiani.jpg!Large.jpg
Yeghishe Tadevosyan,Garni 1934,"Realism,Impressionism","landscape,portrait",,,Armenia,https://uploads0.wikiart.org//images//yeghishe-tadevosyan//garni-1934.jpg
Yeghishe Tadevosyan,Mountain Aragats 1917,Realism,"landscape,portrait",,,Armenia,https://uploads2.wikiart.org//images//yeghishe-tadevosyan//mountain-aragats-1917.jpg
Yeghishe Tadevosyan,Saint Hripsime Church Etchmiadzin 1913,Impressionism,"landscape,portrait",,1913,Armenia,https://uploads1.wikiart.org//images//yeghishe-tadevosyan//saint-hripsime-church-etchmiadzin-1913.jpg
Yeghishe Tadevosyan,The Genius And The Crowd 1909,Pointillism,"landscape,portrait",,,,https://uploads5.wikiart.org//images//yeghishe-tadevosyan//the-genius-and-the-crowd-1909(1).jpg!Large.jpg
Yeghishe Tadevosyan,The Woman Reading In The Garden 1903,Impressionism,"landscape,portrait",,1903,,https://uploads0.wikiart.org//images//yeghishe-tadevosyan//the-woman-reading-in-the-garden-1903.jpg!Large.jpg
Constantin Artachino,Sc Nteia The Spark 1951,Impressionism,genre painting,,1951,,https://uploads5.wikiart.org//images//constantin-artachino//sc-nteia-the-spark-1951.jpg
Constantin Artachino,Small Bouquet Of Roses 1949,Realism,flower painting,,1949,,https://uploads0.wikiart.org//images//constantin-artachino//small-bouquet-of-roses-1949.jpg
Constantin Artachino,Wild Roses 1944,Realism,flower painting,,1944,,https://uploads6.wikiart.org//images//constantin-artachino//wild-roses-1944.jpg
Constantin Artachino,House On Capri Island 1899,Impressionism,landscape,,1899,,https://uploads0.wikiart.org//images//constantin-artachino//house-on-capri-island-1899.jpg!Large.jpg
Thalia Flora Karavia,Portrait Of Yannis Tsarouchis 1942,Expressionism,"portrait,landscape",,1942,,https://uploads7.wikiart.org//images//thalia-flora-karavia//portrait-of-yannis-tsarouchis-1942.jpg
Thalia Flora Karavia,Marie Bonaparte 1913,Expressionism,"portrait,landscape",,1913,,https://uploads2.wikiart.org//images//thalia-flora-karavia//marie-bonaparte-1913.jpg
Thalia Flora Karavia,Bizani 1913,Expressionism,"portrait,landscape",,1913,,https://uploads3.wikiart.org//images//thalia-flora-karavia//bizani-1913.jpg!Large.jpg
Thalia Flora Karavia,Nikopolis Molubi Se Kharti 1913,Impressionism,"portrait,landscape",,1913,,https://uploads2.wikiart.org//00142//images//thalia-flora-karavia//003-23-1913-25x33-5.jpg!Large.jpg
Thalia Flora Karavia,Boy Reading 1906,Impressionism,"portrait,landscape",,1906,,https://uploads8.wikiart.org//images//thalia-flora-karavia//boy-reading-1906.jpg!Large.jpg
Thalia Flora Karavia,Constantinople 1905,Impressionism,"portrait,landscape",,1905,,https://uploads2.wikiart.org//images//thalia-flora-karavia//constantinople-1905.jpg!Large.jpg
Matej Sternen,Portrait Ing K 1940,Impressionism,portrait,,1940,,https://uploads3.wikiart.org//images//matej-sternen//portrait-ing-k-1940.jpg
Matej Sternen,Le E I Akt 1914,Impressionism,nude painting (nu),,1914,,https://uploads8.wikiart.org//images//matej-sternen//le-e-i-akt-1914.jpg
Matej Sternen,Springtime At The Sea 1911,Impressionism,landscape,,1911,,https://uploads1.wikiart.org//images//matej-sternen//springtime-at-the-sea-1911.jpg
Matej Sternen,On The Couch 1909,Impressionism,portrait,,1909,,https://uploads2.wikiart.org//images//matej-sternen//on-the-couch-1909.jpg!Large.jpg
Matej Sternen,The Red Parasol 1904,Impressionism,portrait,,1904,,https://uploads5.wikiart.org//images//matej-sternen//the-red-parasol-1904.jpg!Large.jpg
Nikolai Kulbin,Portrait Of Vsevolod Meyerhold 1913,Expressionism,,,1913,,https://uploads8.wikiart.org//00103//images//nikolai-kulbin//portrait-of-vsevolod-meyerhold-1913.jpg!Large.jpg
Nikolai Kulbin,Flight To The Egypt 1911,"Cubism,Expressionism",religious painting,,1911,,https://uploads6.wikiart.org//00103//images//nikolai-kulbin//flight-to-the-egypt-1911.jpg!Large.jpg
Nikolai Kulbin,Flowers 1910,Expressionism,flower painting,,1910,,https://uploads3.wikiart.org//00103//images//nikolai-kulbin//flowers-1910.jpg!Large.jpg
Nikolai Kulbin,Mimosa 1910,Futurism,flower painting,,1910,,https://uploads1.wikiart.org//00103//images//nikolai-kulbin//mimosa-1910.jpg
Margaret Macdonald,The Little Hills 1915,Art Nouveau (Modern),,,1914 - 1915,,https://uploads3.wikiart.org//00187//images//margaret-macdonald//the-little-hills-1.jpg!Large.jpg
Margaret Macdonald,The Silver Apples Of The Moon 1912,Art Nouveau (Modern),,,1912,,https://uploads3.wikiart.org//00187//images//margaret-macdonald//2011-cks-07994-0068-000-margaret-macdonald-mackintosh-the-silver-apples-of-the-moon-1912-1.jpg!Large.jpg
Margaret Macdonald,The Three Perfumes 1912,Art Nouveau (Modern),,,1912,,https://uploads7.wikiart.org//00187//images//margaret-macdonald//mackintosh-margaret-macdonald-three-perfumes-1912.jpg!Large.jpg
Margaret Macdonald,The Sleeping Princess 1908,Art Nouveau (Modern),,,1908,,https://uploads6.wikiart.org//00187//images//margaret-macdonald//the-sleeping-princess.jpg!Large.jpg
Margaret Macdonald,The May Queen 1900,Art Nouveau (Modern),,,1900,,https://uploads0.wikiart.org//00187//images//margaret-macdonald//the-may-queen-1.jpg!Large.jpg
Sydney Laurence,Cape St Elias 1928,Romanticism,landscape,,1928,,https://uploads5.wikiart.org//images//sydney-laurence//cape-st-elias-1928.jpg!Large.jpg
Sydney Laurence,Mount Mckinley 1925,Romanticism,landscape,,1925,,https://uploads6.wikiart.org//images//sydney-laurence//mount-mckinley-1925.jpg!Large.jpg
Sydney Laurence,Emard Salmon Cannery 1915,Romanticism,landscape,,1915,,https://uploads3.wikiart.org//images//sydney-laurence//emard-salmon-cannery-1915.jpg!Large.jpg
Sydney Laurence,The Trapper 1914,Romanticism,landscape,,1914,,https://uploads3.wikiart.org//images//sydney-laurence//the-trapper-1914.jpg!Large.jpg
Sydney Laurence,A Northern Frontier 1914,Romanticism,landscape,,1914,,https://uploads2.wikiart.org//images//sydney-laurence//a-northern-frontier-1914.jpg!Large.jpg
Sydney Laurence,Sailing Off Gloucester Coast 1888,Romanticism,landscape,,1888,,https://uploads2.wikiart.org//images//sydney-laurence//sailing-off-gloucester-coast-1888.jpg!Large.jpg
Panos Terlemezian,Egich Chubar Portrait 1933,Realism,"landscape,portrait",,1933,,https://uploads6.wikiart.org//images//panos-terlemezian//egich-chubar-portrait-1933.jpg!Large.jpg
Panos Terlemezian,Axel Bakunts Portrait 1932,Realism,"landscape,portrait",,1932,,https://uploads5.wikiart.org//images//panos-terlemezian//axel-bakunts-portrait-1932.jpg
Panos Terlemezian,Gurgen Mahari S Portrait 1932,Symbolism,"landscape,portrait",,1932,,https://uploads0.wikiart.org//images//panos-terlemezian//gurgen-mahari-s-portrait-1932.jpg!Large.jpg
Panos Terlemezian,Mountains Dzoraget 1930,Realism,"landscape,portrait",,,Armenia,https://uploads2.wikiart.org//images//panos-terlemezian//mountains-dzoraget-1930.jpg
Panos Terlemezian,Sevan 1917,Symbolism,"landscape,portrait",,1917,Armenia,https://uploads7.wikiart.org//images//panos-terlemezian//sevan-1917.jpg
Panos Terlemezian,Musicologist Komitas 1913,Symbolism,"landscape,portrait",,1913,,https://uploads8.wikiart.org//images//panos-terlemezian//musicologist-komitas-1913(2).jpg!Large.jpg
Benjamin Brown,Laguna Vista 1915,Impressionism,landscape,,1915,,https://uploads3.wikiart.org//images//benjamin-brown//laguna-vista-1915.jpg!Large.jpg
Benjamin Brown,Art Palace S F Moonlight 1915,Impressionism,landscape,,1915,,https://uploads6.wikiart.org//images//benjamin-brown//art-palace-s-f-moonlight-1915.jpg!Large.jpg
Benjamin Brown,Art Palace Reflections 1915,Impressionism,landscape,,1915,,https://uploads4.wikiart.org//images//benjamin-brown//art-palace-reflections-1915.jpg!Large.jpg
Benjamin Brown,Sunrise Mission At Pala Near San Luis Rey 1898,Impressionism,landscape,,1898,,https://uploads5.wikiart.org//images//benjamin-brown//sunrise-mission-at-pala-near-san-luis-rey-1898.jpg!Large.jpg
Benjamin Brown,Eleanora Muse In Blue Dress 1897,Impressionism,portrait,,1897,,https://uploads0.wikiart.org//images//benjamin-brown//eleanora-muse-in-blue-dress-1897.jpg!Large.jpg
Louis Vivin,Le Moulin De La Galette 1926,Naïefve Art (Primitivism),cityscape,,1926,,https://uploads1.wikiart.org//images//louis-vivin//le-moulin-de-la-galette-1926.jpg
Louis Vivin,Au Bord De La Rivi Re En Hiver 1930,Naïefve Art (Primitivism),cityscape,,1930,,https://uploads8.wikiart.org//images//louis-vivin//au-bord-de-la-rivi-re-en-hiver-1930.jpg
Louis Vivin,The Wedding 1925,Naïefve Art (Primitivism),cityscape,,1925,,https://uploads7.wikiart.org//images//louis-vivin//the-wedding-1925.jpg
Louis Vivin,Le Dejeuner Sur L Herbe 1925,Naïefve Art (Primitivism),cityscape,,1925,,https://uploads1.wikiart.org//images//louis-vivin//le-dejeuner-sur-l-herbe-1925.jpg
Louis Wain,Blue Cat 1932,Art Nouveau (Modern),animal painting,,1932,,https://uploads3.wikiart.org//images//louis-wain//blue-cat-1932.jpg
Louis Wain,K Little Kathleen Out With Her Kite It Broke From The String And Flew Out Of Sight 1914,Art Nouveau (Modern),animal painting,,1914,,https://uploads5.wikiart.org//images//louis-wain//k-little-kathleen-out-with-her-kite-it-broke-from-the-string-and-flew-out-of-sight-1914.jpg
Louis Wain,Old Song The Cat Came Back 1906,Art Nouveau (Modern),animal painting,,1906,,https://uploads4.wikiart.org//images//louis-wain//old-song-the-cat-came-back-1906.jpg!Large.jpg
Louis Wain,Catastrophies Are Off In 1902 Take Care How You Step Into The New Year December Is Rather A 1902,Art Nouveau (Modern),animal painting,,1902,,https://uploads6.wikiart.org//images//louis-wain//catastrophies-are-off-in-1902-take-care-how-you-step-into-the-new-year-december-is-rather-a-1902.jpg!Large.jpg
Rubens Santoro,Verona Italy 1900,Realism,cityscape,,1900,,https://uploads3.wikiart.org//images//rubens-santoro//verona-italy-1900.jpg!Large.jpg
Rubens Santoro,A Canal Scene Venice 1900,Realism,cityscape,,1900,,https://uploads2.wikiart.org//images//rubens-santoro//a-canal-scene-venice-1900.jpg!Large.jpg
Rubens Santoro,Basket Makers In Naples 1878,Realism,cityscape,,1878,,https://uploads5.wikiart.org//images//rubens-santoro//basket-makers-in-naples-1878.jpg!Large.jpg
Rubens Santoro,A Siesta In Sunshine 1878,Realism,cityscape,,1878,,https://uploads2.wikiart.org//images//rubens-santoro//a-siesta-in-sunshine-1878.jpg!Large.jpg
Mildred Anne Butler,A Mother And Child By A River With Wild Roses 1919,Impressionism,"landscape,animal painting",,1919,,https://uploads3.wikiart.org//00128//images//mildred-anne-butler//a-mother-and-child-by-a-river-with-wild-roses-1919.jpg!Large.jpg
Mildred Anne Butler,The Lilac Phlox Kilmurry Co Kilkenny 1912,Impressionism,"landscape,animal painting",,1912,,https://uploads2.wikiart.org//00128//images//mildred-anne-butler//the-lilac-phlox-kilmurry-co-kilkenny-1912.jpg
Mildred Anne Butler,Morning Bath 1896,Impressionism,"landscape,animal painting",,1896,,https://uploads6.wikiart.org//00128//images//mildred-anne-butler//morning-bath-1896.jpg!Large.jpg
Mildred Anne Butler,Meditation 1889,Impressionism,"landscape,animal painting",,1889,,https://uploads4.wikiart.org//00128//images//mildred-anne-butler//meditation-1889.jpeg
Julian Falat,Winter Landscape With River And Bird,Impressionism,landscape,,1913,,https://uploads2.wikiart.org//00140//images//julian-falat//pejza-zimowy-z-rzek-i-ptakiem-1913-1.jpg!Large.jpg
Julian Falat,Self Portrait In Winter Coat,Impressionism,landscape,,1917,,https://uploads0.wikiart.org//00140//images//julian-falat//autoportret-w-zimowym-okryciu-1917.jpg!Large.jpg
Julian Falat,River Among Snow,Impressionism,landscape,,1917,,https://uploads7.wikiart.org//00140//images//julian-falat//rzeka-w-r-d-nieg-w-1917.jpg!Large.jpg
Julian Falat,Lady With Red Earring,Impressionism,landscape,,1900,,https://uploads7.wikiart.org//00140//images//julian-falat//pani-z-czerwonym-kolczykiem-1900.jpg!Large.jpg
Julian Falat,Self Portrait,Impressionism,landscape,,1896,,https://uploads0.wikiart.org//00140//images//julian-falat//autoportret-1896.jpg!Large.jpg
Eduard Von Grutzner,Der Herr Forster 1920,Romanticism,portrait,,1920,,https://uploads4.wikiart.org//00152//images//eduard-von-grutzner//der-herr-f-rster-1920.jpg!Large.jpg
Eduard Von Grutzner,Falstaff 1906,Romanticism,portrait,,1906,,https://uploads5.wikiart.org//00152//images//eduard-von-grutzner//falstaff-1906.jpg!Large.jpg
Eduard Von Grutzner,The Catastrophe 1892,Romanticism,genre painting,,1892,,https://uploads3.wikiart.org//00152//images//eduard-von-grutzner//the-catastrophe-1892.jpg!Large.jpg
Eduard Von Grutzner,Shaving Day At The Monestary 1887,Romanticism,genre painting,,1887,,https://uploads7.wikiart.org//00152//images//eduard-von-grutzner//shaving-day-at-the-monestary-1887.jpg!Large.jpg
Eduard Von Grutzner,The Card Players 1883,Romanticism,genre painting,,1883,,https://uploads4.wikiart.org//00152//images//eduard-von-grutzner//the-card-players-1883.jpg!Large.jpg
Eduard Von Grutzner,Das Glaschen Zur Starkung 1880,Romanticism,genre painting,,1880,,https://uploads4.wikiart.org//00152//images//eduard-von-grutzner//das-gl-schen-zur-st-rkung-1880.jpg!Large.jpg
Robert Bateman,The Artist S Wife 1886,Romanticism,portrait,,1886,,https://uploads7.wikiart.org//images//robert-bateman//the-artist-s-wife-1886.jpg
Robert Bateman,Appleton Thorn 1880,Romanticism,genre painting,,1880,,https://uploads5.wikiart.org//images//robert-bateman//appleton-thorn-1880.jpg!Large.jpg
Robert Bateman,The Pool Of Bethesda 1877,Romanticism,religious painting,,1877,,https://uploads2.wikiart.org//images//robert-bateman//the-pool-of-bethesda-1877.jpg!Large.jpg
Robert Bateman,Reading Of Love He Being By 1874,Romanticism,literary painting,,1874,,https://uploads8.wikiart.org//images//robert-bateman//reading-of-love-he-being-by-1874.jpg
Alexandre Jacques Chantron,Cigale Nude Art 1918,Academicism,nude painting (nu),,1918,,https://uploads0.wikiart.org//00150//images//alexandre-jacques-chantron//cigale-nude.jpg
Alexandre Jacques Chantron,Printemps 1918,Academicism,nude painting (nu),,1918,,https://uploads3.wikiart.org//00150//images//alexandre-jacques-chantron//printemps-nude.jpg
Alexandre Jacques Chantron,A La Plage 1900,Impressionism,"nude painting (nu),genre painting",,1900,,https://uploads7.wikiart.org//00150//images//alexandre-jacques-chantron//alexandre-jacques-chantron.jpg!Large.jpg
Alexandre Jacques Chantron,Danae 1891,Academicism,"nude painting (nu),mythological painting",, ; France,,https://uploads1.wikiart.org//00145//images//alexandre-jacques-chantron//alexandre-jacques-chantron-1891-danae-1.jpg!Large.jpg
Anton Mauve,Landscape With Cattle 1888,Realism,landscape,,1888,,https://uploads0.wikiart.org//images//anton-mauve//landscape-with-cattle-1888.jpg!Large.jpg
Anton Mauve,The Return Of The Flock Laren 1887,Realism,landscape,,1887,,https://uploads8.wikiart.org//images//anton-mauve//the-return-of-the-flock-laren-1887.jpg!Large.jpg
Anton Mauve,Woman From Laren With Lamb 1885,Realism,landscape,,1885,,https://uploads5.wikiart.org//images//anton-mauve//woman-from-laren-with-lamb-1885.jpg!Large.jpg
Anton Mauve,Fishing Boat On The Beach 1882,Realism,landscape,,1882,,https://uploads4.wikiart.org//images//anton-mauve//fishing-boat-on-the-beach-1882.jpg!Large.jpg
Anton Mauve,A Dutch Road 1880,Realism,landscape,,1880,,https://uploads0.wikiart.org//images//anton-mauve//a-dutch-road-1880.jpg!Large.jpg
Anton Mauve,Morning Ride On The Beach 1876,Realism,landscape,,1876,,https://uploads4.wikiart.org//images//anton-mauve//morning-ride-on-the-beach-1876.jpg!Large.jpg
Charles Hermans,Circe The Temptress 1881,Realism,genre painting,,1881,,https://uploads2.wikiart.org//images//charles-hermans//circe-the-temptress-1881.jpg!Large.jpg
Charles Hermans,L Aube 1875,Realism,genre painting,,1875,,https://uploads7.wikiart.org//images//charles-hermans//l-aube-1875.jpg!Large.jpg
Charles Hermans,L Aube Detail 1875,Realism,genre painting,,1875,,https://uploads4.wikiart.org//images//charles-hermans//l-aube-detail-1875.jpg
Charles Hermans,Honeymoon 1871,Realism,genre painting,,1871,,https://uploads1.wikiart.org//images//charles-hermans//honeymoon-1871.jpg!Large.jpg
Charles Hermans,Monks Playing Bowls 1867,Realism,genre painting,,1867,,https://uploads1.wikiart.org//images//charles-hermans//monks-playing-bowls-1867.jpg
Franz Richard Unterberger,Giudecca Canal,Romanticism,cityscape,,1895 - 1900,,https://uploads2.wikiart.org//images//franz-richard-unterberger//giudecca-canal.jpg!Large.jpg
Franz Richard Unterberger,The Monreale Road Palermo 1884,Romanticism,cityscape,,1884,,https://uploads0.wikiart.org//images//franz-richard-unterberger//the-monreale-road-palermo-1884.jpg!Large.jpg
Franz Richard Unterberger,Capri,Romanticism,cityscape,,1875 - 1880,,https://uploads2.wikiart.org//images//franz-richard-unterberger//capri.jpg!Large.jpg
Franz Richard Unterberger,The Last Day Of The Harvest 1860,Romanticism,cityscape,,1860,,https://uploads2.wikiart.org//images//franz-richard-unterberger//the-last-day-of-the-harvest-1860.jpg!Large.jpg
Henry Moore Ra,Henry Moore 1895,Realism,"landscape,marina",,1895,,https://uploads2.wikiart.org//00132//images//henry-moore-ra//henry-moore-by-henry-moore.jpg!Large.jpg
Henry Moore Ra,Mounts Bay Early Morning In The Summer 1886,Realism,"landscape,marina",,1886,,https://uploads6.wikiart.org//00132//images//henry-moore-ra//mount-s-bay-early-morning-in-the-summer.jpg!Large.jpg
Henry Moore Ra,Catspaws Off The Land 1885,Realism,"landscape,marina",,1885,,https://uploads6.wikiart.org//00132//images//henry-moore-ra//catspaws-off-the-land.jpg!Large.jpg
Henry Moore Ra,Newhaven Packet 1885,Realism,"landscape,marina",,1885,,https://uploads0.wikiart.org//00132//images//henry-moore-ra//newhaven-packet.jpg!Large.jpg
Henry Moore Ra,After Rain 1872,Realism,"landscape,marina",,1872,,https://uploads4.wikiart.org//00132//images//henry-moore-ra//after-rain.jpg!Large.jpg
Henry Moore Ra,The Rainbow 1865,Realism,"landscape,marina",,1865,,https://uploads0.wikiart.org//00132//images//henry-moore-ra//moore-henry-the-rainbow-1865-oil-on-canvas.jpg!Large.jpg
Konstantin Dmitriyevich Flavitsky,Princess Tarakanova In The Peter And Paul Fortress At The Time Of The Flood 1864 1,Romanticism,history painting,,1864,,https://uploads6.wikiart.org//images//konstantin-dmitriyevich-flavitsky//princess-tarakanova-in-the-peter-and-paul-fortress-at-the-time-of-the-flood-1864-1.jpg!Large.jpg
Konstantin Dmitriyevich Flavitsky,Christian Martyrs In The Colosseum 1862,Romanticism,history painting,,1862,,https://uploads8.wikiart.org//images//konstantin-dmitriyevich-flavitsky//christian-martyrs-in-the-colosseum-1862.jpg!Large.jpg
